com_x,com_y,ideal_zmp_x,ideal_zmp_y,l_foot_t,l_foot_x,l_foot_y,l_foot_z,now_step_,pitch,points,r_foot_t,r_foot_x,r_foot_y,r_foot_z,roll,time,yaw
0.000000,-0.825818,0.000000,-5.000000,0.000000,0.000000,0.825818,24.299999,0.000000,none,1.000000,0.000000,0.000000,0.825818,24.299999,none,0.030000,20.000000
0.000000,-1.499670,0.000000,-5.000000,0.000000,0.000000,1.499670,24.299999,0.000000,none,2.000000,0.000000,0.000000,1.499670,24.299999,none,0.060000,20.000000
0.000000,-2.046088,0.000000,-5.000000,0.000000,0.000000,2.046088,24.299999,0.000000,none,3.000000,0.000000,0.000000,2.046088,24.299999,none,0.090000,20.000000
0.000000,-2.484965,0.000000,-5.000000,0.000000,0.000000,2.484965,24.299999,0.000000,none,4.000000,0.000000,0.000000,2.484965,24.299999,none,0.120000,20.000000
0.000000,-2.832280,0.000000,-5.000000,0.000000,0.000000,2.832280,24.299999,0.000000,none,5.000000,0.000000,0.000000,2.832280,24.299999,none,0.150000,20.000000
0.000000,-3.100676,0.000000,-5.000000,0.000000,0.000000,3.100676,24.299999,0.000000,none,6.000000,0.000000,0.000000,3.100676,24.299999,none,0.180000,20.000000
0.000000,-3.299924,0.000000,-5.000000,0.000000,0.000000,3.299924,24.299999,0.000000,none,7.000000,0.000000,0.000000,3.299924,24.299999,none,0.210000,20.000000
0.000000,-3.437280,0.000000,-5.000000,0.000000,0.000000,3.437280,24.299999,0.000000,none,8.000000,0.000000,0.000000,3.437280,24.299999,none,0.240000,20.000000
0.000000,-3.517743,0.000000,-5.000000,0.000000,0.000000,3.517743,24.299999,0.000000,none,9.000000,0.000000,0.000000,3.517743,24.299999,none,0.270000,20.000000
0.000000,-3.544242,0.000000,-5.000000,0.000000,0.000000,3.544242,24.299999,0.000000,none,10.000000,0.000000,0.000000,3.544242,24.299999,none,0.300000,20.000000
0.000000,-3.517743,0.000000,-5.000000,0.000000,0.000000,3.517743,24.299999,0.000000,none,11.000000,0.000000,0.000000,3.517743,24.299999,none,0.330000,20.000000
0.000000,-3.437280,0.000000,-5.000000,0.000000,0.000000,3.437280,24.299999,0.000000,none,12.000000,0.000000,0.000000,3.437280,24.299999,none,0.360000,20.000000
0.000000,-3.299924,0.000000,-5.000000,0.000000,0.000000,3.299924,24.299999,0.000000,none,13.000000,0.000000,0.000000,3.299924,24.299999,none,0.390000,20.000000
0.000000,-3.100676,0.000000,-5.000000,0.000000,0.000000,3.100676,24.299999,0.000000,none,14.000000,0.000000,0.000000,3.100676,24.299999,none,0.420000,20.000000
0.000000,-2.832280,0.000000,-5.000000,0.000000,0.000000,2.832280,24.299999,0.000000,none,15.000000,0.000000,0.000000,2.832280,24.299999,none,0.450000,20.000000
0.000000,-2.484965,0.000000,-5.000000,0.000000,0.000000,2.484965,24.299999,0.000000,none,16.000000,0.000000,0.000000,2.484965,24.299999,none,0.480000,20.000000
0.000000,-2.046088,0.000000,-5.000000,0.000000,0.000000,2.046088,24.299999,0.000000,none,17.000000,0.000000,0.000000,2.046088,24.299999,none,0.510000,20.000000
0.000000,-1.499670,0.000000,-5.000000,0.000000,0.000000,1.499670,24.299999,0.000000,none,18.000000,0.000000,0.000000,1.499670,24.299999,none,0.540000,20.000000
